entity	type	rank_sampling	rank_passive	rank_diff
Jersey_City,_New_Jersey	wikicat_Populated_places_on_the_Underground_Railroad	206	46	160
George_Orwell	wikicat_English_political_writers	334	175	159
Ivory_Coast_national_football_team	wordnet_football_team_108080025	208	49	159
Robin_Cook_(American_novelist)	wikicat_20th-century_writers	315	158	157
Rimas_Kurtinaitis	wikicat_Basketball_players_at_the_1988_Summer_Olympics	738	581	157
Blace	wordnet_administrative_district_108491826	185	30	155
Charles_Durning	wikicat_American_people_of_World_War_II	235	81	154
Jordi_Gómez	wikicat_Sunderland_A.F.C._players	201	47	154
Dorin_Goian	wikicat_U.S._Città_di_Palermo_players	278	124	154
William_Thomson,_1st_Baron_Kelvin	wikicat_British_scientists	202	49	153
Gustavo_Biscayzacú	wikicat_Real_Jaén_footballers	2100	1947	153
Inter_Baku_PIK	wikicat_Association_football_clubs_established_in_1997	171	18	153
Modeste_M'bami	wikicat_Footballers_at_the_2000_Summer_Olympics	298	146	152
John_Fraser_(footballer_born_1876)	wikicat_Motherwell_F.C._players	286	135	151
Lulu_(singer)	wikicat_Mercury_Records_artists	485	334	151
Stephen_Dorff	wikicat_American_people_of_Jewish_descent	287	137	150
Gustavo_Napoles	wikicat_Tigres_UANL_footballers	321	171	150
Romy_Schneider	wikicat_Actresses_from_Vienna	15336	15186	150
Poul_Anderson	wikicat_American_people_of_Danish_descent	1118	968	150
Émile_Mpenza	wikicat_1998_FIFA_World_Cup_players	186	37	149
Woodrow_Wilson	wikicat_People_from_Staunton,_Virginia	16615	16466	149
Julio_César_Uribe	wikicat_1987_Copa_América_players	189	41	148
Alfred_North_Whitehead	wikicat_Academics_of_Imperial_College_London	192	45	147
Paul_Krugman	wikicat_American_non-fiction_writers	253	107	146
Fisher_Athletic_F.C.	wikicat_Association_football_clubs_established_in_1908	259	113	146
Le_streghe	wikicat_Comedy-drama_films	169	24	145
Jimmy_Carter	wikicat_Sons_of_the_American_Revolution	276	131	145
Yago_Alonso-Fueyo_Sako	wikicat_People_from_Abidjan	175	31	144
Oleksiy_Horodov	wikicat_FC_Spartak_Ivano-Frankivsk_players	328	184	144
Gustavo_Biscayzacú	wikicat_National_Soccer_League_(Australia)_players	185	42	143
Jeff_Minton	wikicat_Chelmsford_City_F.C._players	263	120	143
André_Luiz_Moreira	wikicat_CD_Tenerife_players	343	201	142
Jørgen_Kristensen	wikicat_Calgary_Boomers_players	196	55	141
Alexander_Herzen	wikicat_Opinion_journalists	686	546	140
Bob_Hope	wikicat_British_humorists	172	32	140
Viggo_Mortensen	wikicat_Canadian_emigrants_to_the_United_States	196	57	139
Joseph-Désiré_Job	wikicat_Diyarbakırspor_footballers	229	91	138
Friedrich_Hayek	wikicat_People_associated_with_the_London_School_of_Economics	184	47	137
Nicolás_Diez	wikicat_Argentina_youth_international_footballers	291	155	136
Racing_de_Ferrol	wikicat_Football_clubs_in_Spain	192	56	136
Rosa_Luxemburg	wikicat_Feminists	539	403	136
Aria_(film)	wikicat_German-language_films	291	155	136
Dave_Norton	wikicat_Notts_County_F.C._players	139	4	135
J._R._Reid	wikicat_Baloncesto_León_players	335	201	134
CFR_Cluj	wikicat_Association_football_clubs_established_in_1907	193	60	133
Archie_Thompson	wikicat_K._Lierse_S.K._players	377	244	133
Settling_Accounts	wordnet_conflict_100958896	133	2	131
Order_of_the_Nile	wikicat_Civil_awards_and_decorations	205	75	130
Devon	wikicat_Non-metropolitan_counties	207	77	130
James_Wesolowski	wikicat_Peterborough_United_F.C._players	696	567	129
George_R._R._Martin	wikicat_American_bloggers	298	169	129
Nozomi_Hiroyama	wikicat_Japanese_expatriates_in_France	214	86	128
Hameur_Bouazza	wikicat_Fulham_F.C._players	162	35	127
James_Robertson_Justice	wikicat_British_journalists	456	329	127
NK_Neretva	wikicat_Football_clubs_in_Croatia	132	5	127
Keeneland	wordnet_racetrack_104037625	129	3	126
Armageddon_(1998_film)	wikicat_American_science_fiction_action_films	215	91	124
Atlético_Clube_Goianiense	wikicat_Association_football_clubs_established_in_1937	183	59	124
Glen_Moss	wikicat_Liga_I_players	387	263	124
Micky_Adams	wikicat_Leicester_City_F.C._managers	668	546	122
Boxer_Rebellion	wordnet_conflict_100958896	121	1	120
Alexandre_Faioli	wikicat_Brazilian_expatriates_in_Portugal	368	248	120
Ronald_Coase	wikicat_English_Nobel_laureates	169	49	120
Santiago_Salcedo	wikicat_Club_Atlético_Lanús_footballers	322	202	120
Eleftheria_Arvanitaki	wikicat_Singers	138	19	119
Thomas_Jefferson	wikicat_American_farmers	340	221	119
Iván_Guerrero	wikicat_North_American_Soccer_League_players	207	90	117
Arne_Friedrich	wikicat_Germany_B_international_footballers	150	34	116
Carlos_Casartelli	wikicat_Indios_de_Ciudad_Juárez_footballers	214	98	116
Dnipropetrovsk	wikicat_Populated_places_established_in_1776	2041	1926	115
Maggie_Gyllenhaal	wikicat_American_people_of_Swedish_descent	3359	3244	115
Sterling_Hayden	wikicat_People_from_Marin_County,_California	1413	1298	115
Neil_Wood	wikicat_Expatriate_footballers_in_Bosnia_and_Herzegovina	233	119	114
Comoros	wikicat_Archipelagoes_of_the_Indian_Ocean	172	59	113
Emsland	wordnet_district_108552138	133	20	113
Ioan_Sabău	wikicat_CFM_U_Cluj_managers	195	83	112
Olubayo_Adefemi	wikicat_Skoda_Xanthi_F.C._players	454	342	112
James_Watson	wikicat_Phage_workers	177	67	110
Oscar_Dertycia	wikicat_Talleres_footballers	117	7	110
Rainer_Maria_Rilke	wikicat_Sonneteers	506	396	110
Midge_Ure	wikicat_English_record_producers	201	92	109
Gustavo_Biscayzacú	wikicat_Tiburones_Rojos_de_Veracruz_footballers	282	175	107
Punjab_region	wikicat_Empires_and_kingdoms_of_India	128	21	107
Miami_University	wikicat_Universities_and_colleges_in_Ohio	127	21	106
Danny_Graham_(footballer)	wikicat_Darlington_F.C._players	176	70	106
Stuart_Fleetwood	wikicat_Eastleigh_F.C._players	258	152	106
Félix_Ricardo_Torres	wikicat_1987_Copa_América_players	234	129	105
Lithuania	wikicat_States_and_territories_established_in_1990	179	74	105
Woodrow_Wilson	wikicat_State_governors_of_the_United_States	258	154	104
Andrey_Movsisyan	wikicat_FC_Lokomotiv_Nizhny_Novgorod_players	123	19	104
Jalandhar	wikicat_Cities_and_towns_in_Punjab,_India	9157	9053	104
Michael_Duberry	wikicat_Reading_F.C._players	187	84	103
Leonid_Hurwicz	wordnet_person_100007846	115	12	103
Anders_Jochumsen	wikicat_Lyngby_Boldklub_players	166	63	103
Dubai_International_Airport	wikicat_Airports_in_the_United_Arab_Emirates	12529	12427	102
George_Orwell	wikicat_War_correspondents	248	146	102
Christopher_Reeve	wikicat_American_male_soap_opera_actors	551	450	101
Caxias_do_Sul	wikicat_Cities_in_Rio_Grande_do_Sul	153	53	100
Portuguese_Empire	wikicat_Overseas_empires	115	15	100
Leonid_Hurwicz	wikicat_Jewish_American_scientists	110	12	98
Adanaspor	wordnet_club_108227214	99	1	98
John_Grisham	wikicat_People_from_Oxford,_Mississippi	152	54	98
Mitt_Romney	wikicat_State_governors_of_the_United_States	158	60	98
Carlo_Azeglio_Ciampi	wikicat_Action_Party_(Italy)_politicians	16218	16121	97
Walt_Disney	wikicat_American_philanthropists	243	146	97
Worthing_F.C.	wikicat_Football_clubs_in_West_Sussex	483	386	97
John_Cleese	wikicat_British_television_actors	126	30	96
Kid_Rock	wikicat_Warner_Music_Group_artists	291	195	96
Nicola_Amoruso	wikicat_A.S._Andria_BAT_players	247	152	95
Leandro_Bernardi_Silva	wikicat_Paysandu_Sport_Club_players	114	19	95
Mark_Fotheringham	wikicat_Scottish_expatriate_footballers	107	12	95
S.S._Lazio	wikicat_Multi-sport_clubs	110	15	95
I._M._Pei	wikicat_Living_people	152	57	95
Francisco_Ferreira_(Paraguayan_footballer)	wikicat_Oriente_Petrolero_players	111	16	95
John_Cassavetes	wikicat_American_film_editors	131	37	94
Ljungskile_SK	wikicat_Allsvenskan_clubs	16190	16097	93
Nine_Lives_(2005_film)	wikicat_2005_films	293	200	93
Willard_Van_Orman_Quine	wikicat_Pragmatists	147	54	93
ARIA_Music_Awards	wordnet_award_106696483	118	25	93
Gary_Sweet	wikicat_Australian_male_singers	154	62	92
Trinity_College,_Cambridge	wikicat_Organisations_based_in_Cambridge_with_royal_patronage	313	221	92
Hervé_de_Charette	wikicat_HEC_Paris_alumni	131	39	92
Laredo,_Texas	wikicat_Populated_places_established_in_1755	13694	13603	91
Franco_Da_Dalt	wikicat_A.S._Varese_1910_players	125	34	91
Aria_(film)	wikicat_Miramax_Films_films	102	11	91
The_Dirty_Dozen	wikicat_Films_based_on_novels	95	4	91
Strasbourg	wikicat_Populated_places_on_the_Rhine	132	41	91
Melissa_Tancredi	wikicat_Footballers_at_the_2007_Pan_American_Games	138	48	90
Charlotte_Rampling	wikicat_Pop_singers	139	50	89
Stephen_Hawking	wikicat_Alumni_of_Trinity_Hall,_Cambridge	1862	1773	89
Eduardo_Gonçalves_de_Oliveira	wikicat_Brazil_international_footballers	101	13	88
Captain_Beefheart	wikicat_Songwriters_from_California	227	139	88
Bytów_County	wordnet_administrative_district_108491826	100	12	88
Carl_Tiler	wikicat_Aston_Villa_F.C._players	119	32	87
Club_Sportivo_Cerrito	wikicat_Football_clubs_in_Uruguay	125	38	87
Marcos_Alonso_Peña	wikicat_Málaga_CF_managers	14795	14708	87
Zhuhai_Jinwan_Airport	wikicat_Airports_in_Guangdong	89	3	86
Goole_A.F.C.	wikicat_Northern_Premier_League_clubs	121	35	86
Roger_Glover	wikicat_English_record_producers	250	164	86
Sofia_Coppola	wikicat_American_women_film_directors	348	263	85
Edson_Ratinho	wikicat_RCD_Mallorca_footballers	267	182	85
Scott_Cooksey	wikicat_England_semi-pro_international_footballers	152	67	85
Andrija_Kaluđerović	wikicat_Serbian_expatriates_in_China	208	123	85
Alex_Bruce_(footballer,_born_1984)	wikicat_Oldham_Athletic_A.F.C._players	92	7	85
Harry_B._Gray	wikicat_20th-century_chemists	155	70	85
Boaz_Myhill	wikicat_England_youth_international_footballers	133	48	85
Iván_Obolo	wikicat_AIK_Fotboll_players	180	95	85
George_Abbott	wikicat_Harvard_University_alumni	162	78	84
Oxford,_Ohio	wikicat_Cities_in_Ohio	84	1	83
Ricardo_Montalbán	wikicat_American_film_directors	95	13	82
Galilee	wikicat_New_Testament_places	115	33	82
Diego_Perrone	wikicat_Club_Nacional_de_Football_players	112	32	80
Edmund_Husserl	wikicat_People_condemned_by_Nazi_courts	117	37	80
Joakim_Persson	wikicat_Atalanta_B.C._players	581	501	80
John_Gidman	wikicat_Aston_Villa_F.C._players	440	361	79
David_di_Donatello	wikicat_International_film_awards	110	32	78
Little_Rock,_Arkansas	wikicat_Cities_in_the_United_States	94	16	78
Dave_Mitchell_(footballer)	wikicat_Scottish_footballers	354	276	78
Stevenage	wikicat_Towns_with_cathedrals_in_the_United_Kingdom	131	53	78
Jack_Cork	wikicat_Burnley_F.C._players	119	41	78
Ernest_Orlando_Lawrence_Award	wikicat_Physics_awards	111	34	77
Jane_Murfin	wikicat_American_women_film_directors	493	416	77
Adalto_Batista_da_Silva	wikicat_Esporte_Clube_Santo_André_players	222	145	77
Chien-Shiung_Wu	wikicat_20th-century_women	309	232	77
Ronald_Fisher	wikicat_English_mathematicians	88	12	76
Deportivo_Cuenca	wikicat_Association_football_clubs_established_in_1971	88	12	76
Natasha_Richardson	wikicat_Shakespearean_actors	164	89	75
Rik_Mayall	wikicat_English_male_comedians	107	32	75
Ernst_Mach	wikicat_Austrian_scientists	116	41	75
Ioan_Sabău	wikicat_Feyenoord_players	157	83	74
Jade_North	wikicat_Brisbane_Roar_FC_players	107	33	74
Isidor_Isaac_Rabi	wikicat_Fellows_of_the_American_Association_for_the_Advancement_of_Science	118	45	73
Christopher_Reeve	wikicat_American_writers	134	61	73
David_Bohm	wikicat_Alumni_of_the_University_of_Bristol	317	244	73
Johnny_Torres	wikicat_Miami_Fusion_F.C._players	127	54	73
Gmina_Łagów,_Lubusz_Voivodeship	wordnet_administrative_district_108491826	118	45	73
Daniel_Nannskog	wikicat_Expatriate_footballers_in_China	262	189	73
Mark_Owen	wikicat_Musicians_from_Greater_Manchester	16585	16513	72
Sylvia_Plath	wikicat_Pulitzer_Prize_winners	246	174	72
Neil_Lennon	wikicat_Crewe_Alexandra_F.C._players	155	83	72
Ben_Sahar	wikicat_RCD_Espanyol_footballers	247	175	72
Gary_Teale	wikicat_Sheffield_Wednesday_F.C._players	193	122	71
Liza_Minnelli	wikicat_American_people_of_French-Canadian_descent	421	350	71
Kuujjuaq_Airport	wordnet_airport_102692232	132	61	71
Debbie_Reynolds	wikicat_Actresses_from_Beverly_Hills,_California	150	80	70
Christopher_Guest	wikicat_English_television_writers	104	34	70
Keanu_Reeves	wikicat_American_television_actors	82	12	70
Frank_Sinatra	wikicat_Actors_from_New_Jersey	119	49	70
Ilya_Maksimov	wikicat_FC_Shinnik_Yaroslavl_players	76	7	69
The_London_Studios	wordnet_building_102913152	103	34	69
Jason_Blunt	wikicat_Guiseley_A.F.C._players	183	114	69
Mars_Attacks!	wikicat_American_comedy_science_fiction_films	84	16	68
Henry_Fonda	wikicat_Male_actors_from_Omaha,_Nebraska	94	26	68
Nikita_Rukavytsya	wikicat_2._Bundesliga_players	72	4	68
Stock_Aitken_Waterman	wikicat_Songwriters	115	48	67
Richard_Feynman	wikicat_Quantum_physicists	84	17	67
Gabriel_Enrique_Gómez	wikicat_Junior_F.C._footballers	91	24	67
S.C._Freamunde	wikicat_Football_clubs_in_Portugal	162	95	67
Palm_Springs,_California	wordnet_administrative_district_108491826	85	18	67
Enrico_Fermi_Award	wikicat_Physics_awards	79	13	66
Hapoel_Nir_Ramat_HaSharon_F.C.	wikicat_Football_clubs_in_Israel	81	15	66
José_Moisela	wikicat_Deportivo_Municipal_footballers	165	100	65
Lincoln,_Nebraska	wikicat_Populated_places_established_in_1856	369	304	65
De_Graafschap	wordnet_club_108227214	69	4	65
Alphonse_Tchami	wikicat_1994_FIFA_World_Cup_players	76	11	65
Drama_Desk_Award	wikicat_Theatre_awards	70	5	65
Daniele_De_Vezze	wikicat_Italy_youth_international_footballers	121	56	65
Werder_Bremen	wordnet_club_108227214	66	2	64
Dan_Eggen	wikicat_Norwegian_football_managers	99	36	63
K.S.K._Beveren	wikicat_Association_football_clubs_established_in_1934	123	60	63
Joseph-Désiré_Job	wikicat_1998_FIFA_World_Cup_players	96	33	63
Les_plus_belles_escroqueries_du_monde	wikicat_Black-and-white_films	142	79	63
Stan_Laurel	wikicat_Music_hall_performers	194	131	63
Kalusha_Bwalya	wikicat_Club_Necaxa_footballers	68	6	62
Michele_Fini	wikicat_Cagliari_Calcio_players	200	138	62
Mike_Myers	wikicat_People_from_Ontario	4315	4253	62
Jim_Clark_(film_editor)	wikicat_British_film_editors	84	22	62
Ilian_Iliev	wikicat_Bursaspor_footballers	81	20	61
Paul_Simon	wikicat_Jewish_American_musicians	93	32	61
Danny_Higginbotham	wikicat_English_expatriate_footballers	69	8	61
Ballon_d'Or_(1956–2009)	wordnet_award_106696483	75	14	61
Alekos_Alekou	wikicat_Expatriate_footballers_in_Hungary	70	9	61
Huddersfield_Town_F.C.	wikicat_Association_football_clubs_established_in_1908	70	9	61
Jules_Vandooren	wikicat_CS_Sedan_Ardennes_managers	13236	13175	61
Isidor_Isaac_Rabi	wikicat_Jewish_American_scientists	68	7	61
Nicola_Amoruso	wikicat_A.C._Perugia_Calcio_players	126	65	61
Michael_Nelson_(footballer)	wikicat_Scunthorpe_United_F.C._players	183	122	61
Hermann_Hreiðarsson	wikicat_Crystal_Palace_F.C._players	73	13	60
Aurelio_Vidmar	wikicat_2001_FIFA_Confederations_Cup_players	82	22	60
Sociedade_Esportiva_Matonense	wikicat_Football_clubs_in_São_Paulo_(state)	205	145	60
Precious_Emuejeraye	wikicat_Expatriate_footballers_in_Indonesia	68	8	60
Gheorghe_Hagi	wikicat_FC_Steaua_București_managers	148	88	60
Valentino_Lai	wikicat_Malmö_FF_players	83	24	59
Roberto_Merino	wikicat_Akratitos_FC_players	232	173	59
Ian_Thomas-Moore	wikicat_Burnley_F.C._players	128	69	59
Michael_Hughes_(footballer)	wikicat_Manchester_City_F.C._players	74	15	59
Keanu_Reeves	wikicat_Canadian_film_producers	103	45	58
Ronald_Fisher	wikicat_British_astronomers	65	7	58
Sander_Westerveld	wikicat_UEFA_Euro_2004_players	105	47	58
François_Remetter	wikicat_France_international_footballers	104	46	58
David_Seaman	wikicat_1998_FIFA_World_Cup_players	80	22	58
Paulo_Marcel_Pereira_Merabet	wikicat_Clube_do_Remo_players	429	372	57
Georgios_Vakouftsis	wikicat_ACF_Fiorentina_players	258	201	57
Arezzo	wikicat_Cities_and_towns_in_Tuscany	73	16	57
Nélson_Marcos	wikicat_UD_Almería_footballers	115	58	57
Aarón_Ñíguez	wikicat_Recreativo_de_Huelva_footballers	110	53	57
RBC_Roosendaal	wordnet_club_108227214	80	24	56
Randers_FC	wordnet_club_108227214	58	2	56
Roger_Penrose	wikicat_English_atheists	84	28	56
Beloit,_Wisconsin	wordnet_administrative_district_108491826	71	15	56
Karl_Bermingham	wikicat_Monaghan_United_F.C._players	159	103	56
Arne_Friedrich	wikicat_German_expatriate_footballers	58	3	55
Jim_Rodwell	wikicat_Darlington_F.C._players	166	111	55
Paulus_Roiha	wikicat_FC_Honka_players	100	45	55
Romeo_Filipović	wikicat_MSV_Duisburg_players	92	37	55
Robert_Lucas,_Jr.	wikicat_Presidents_of_the_Econometric_Society	81	26	55
Robbie_Herrera	wikicat_Leyton_Orient_F.C._players	164	110	54
Finland_national_football_team	wikicat_National_sports_teams_of_Finland	65	11	54
Thomas_Mulcair	wikicat_Anglophone_Quebec_people	92	38	54
Hollywood_Party_(1934_film)	wikicat_American_musical_films	81	27	54
Martin_Woods	wikicat_Yeovil_Town_F.C._players	219	165	54
Thomas_Paine	wikicat_American_foreign_policy_writers	135	81	54
Henri_Poincaré	wikicat_19th-century_physicists	121	67	54
James_Wesolowski	wikicat_Leicester_City_F.C._players	116	62	54
Guilherme_de_Cássio_Alves	wikicat_Segunda_División_footballers	71	18	53
Benjamin_Fondane	wikicat_People_from_Iaşi	15278	15225	53
Wim_Suurbier	wikicat_FC_Schalke_04_players	90	37	53
Richard_Garcia	wikicat_Hull_City_A.F.C._players	57	4	53
James_Ivory_(director)	wikicat_American_people_of_Irish_descent	60	7	53
Dietmar_Hamann	wikicat_1998_FIFA_World_Cup_players	70	18	52
The_Hague	wikicat_Port_cities_and_towns_of_the_North_Sea	76	24	52
Sheffield	wikicat_Towns_in_South_Yorkshire	63	11	52
Charles_K._Kao	wikicat_British_academics	103	52	51
Germán_Herrera	wikicat_Campeonato_Brasileiro_Série_A_footballers	58	7	51
Dorinel_Munteanu	wikicat_Romanian_expatriates_in_Belgium	100	49	51
Bernie_Lilavois	wikicat_Portland_Pythons_players	61	10	51
Club_Deportivo_Olimpia	wordnet_club_108227214	61	10	51
Amintore_Fanfani	wikicat_Presidents_of_the_Italian_Senate	94	44	50
SC_Telstar	wordnet_club_108227214	71	21	50
Bruno_Alves	wikicat_Portuguese_expatriates_in_Greece	170	120	50
Cornwall	wikicat_Former_countries_in_the_British_Isles	269	219	50
Roger_Milla	wikicat_1994_FIFA_World_Cup_players	69	19	50
Club_Atlético_Platense	wordnet_club_108227214	66	16	50
Godfrey_Ingram	wikicat_Major_Indoor_Soccer_League_(1978–92)_players	57	8	49
Seol_Ki-hyeon	wikicat_Fulham_F.C._players	229	180	49
Luke_Corbett	wikicat_Association_football_forwards	57	8	49
Raleigh–Durham_International_Airport	wikicat_Airfields_of_the_United_States_Army_Air_Forces_Technical_Service_Command	51	2	49
Andy_Millen	wikicat_Hibernian_F.C._players	84	36	48
Ben_Sahar	wikicat_Israeli_footballers	50	2	48
Omagh	wikicat_Cities_in_the_United_Kingdom	132	84	48
Wisła_Kraków	wikicat_Basketball_teams_in_Poland	58	10	48
Marcos_Denner	wikicat_Paulista_Futebol_Clube_players	86	38	48
Leonid_Hurwicz	wikicat_American_mathematicians	99	51	48
INXS	wikicat_Musical_groups_established_in_1977	86	38	48
David_Watson_(footballer_born_1946)	wikicat_England_international_footballers	80	32	48
Bogotá	wikicat_Capitals_in_South_America	52	4	48
Rosa_Luxemburg	wikicat_German_atheists	76	28	48
Marijan_Kovačević	wikicat_Ethnic_German_people	127	79	48
Dougie_Bell	wikicat_Elgin_City_F.C._players	121	74	47
Iván_Obolo	wikicat_Argentine_people_of_Italian_descent	215	168	47
Mauritius	wikicat_Islands_of_the_Indian_Ocean	139	92	47
Zambia_national_football_team	wordnet_football_team_108080025	82	35	47
Club_Universidad_Nacional	wordnet_club_108227214	61	14	47
Gerry_Francis	wikicat_Exeter_City_F.C._players	70	23	47
Modesto,_California	wikicat_Cities_in_Stanislaus_County,_California	15919	15873	46
Santos,_São_Paulo	wikicat_Populated_coastal_places_in_São_Paulo_(state)	59	13	46
Tivoli,_Lazio	wikicat_Archaeological_sites_in_Italy	55	9	46
Nery_Castillo	wikicat_Mexican_footballers	66	21	45
Gary_Moore	wikicat_British_people	87	42	45
Nathan_Abbey	wikicat_Boston_United_F.C._players	61	16	45
Norm_Macdonald	wikicat_Comedians	72	27	45
Stephen_Fry	wikicat_People_educated_at_Uppingham_School	16365	16320	45
Georg_Wilhelm_Friedrich_Hegel	wikicat_German_logicians	49	4	45
Peter_Kropotkin	wikicat_Soviet_dissidents	115	70	45
Laurent_Schwartz	wikicat_French_atheists	56	11	45
Anand_Raj_Anand	wordnet_artist_109812338	58	13	45
Manuel_Almunia	wikicat_Watford_F.C._players	57	12	45
David_Hume	wikicat_Atheist_philosophers	58	14	44
Wycombe_Wanderers_F.C.	wikicat_Fan-owned_English_League_football_clubs	45	1	44
Tayt_Ianni	wikicat_United_States_men's_international_soccer_players	46	2	44
Haruki_Murakami	wikicat_20th-century_novelists	50	6	44
Kylie_Minogue	wikicat_20th-century_actresses	62	18	44
Kazuyuki_Toda	wikicat_Expatriate_footballers_in_England	48	4	44
Lublin_County	wikicat_Counties_of_Poland	70	26	44
Adán_Vergara	wikicat_Expatriate_footballers_in_Brazil	80	36	44
Apocalypse_Now	wikicat_Vietnam_War_films	56	12	44
Daniel_Prodan	wikicat_Atlético_Madrid_footballers	220	176	44
Eastern_Samar	wikicat_Provinces_of_the_Philippines	72	28	44
Kylie_Minogue	wikicat_Capitol_Records_artists	165	121	44
Diana_Dors	wikicat_Converts_to_Roman_Catholicism	171	127	44
Dan_Aykroyd	wordnet_comedian_109940146	53	10	43
Rot-Weiss_Essen	wikicat_Association_football_clubs_established_in_1907	61	18	43
Aldous_Huxley	wikicat_British_essayists	64	21	43
Teemu_Pukki	wikicat_FC_Schalke_04_players	51	8	43
Deluge_(history)	wikicat_Wars_involving_Sweden	49	6	43
Andrey_Movsisyan	wikicat_FC_Luch-Energiya_Vladivostok_players	113	70	43
Jim_Kerr_(footballer_born_1959)	wikicat_Airdrieonians_F.C._(1878)_players	122	79	43
Barry_Manilow	wikicat_American_people_of_Irish_descent	70	27	43
Eric_Idle	wikicat_English_male_comedians	66	23	43
José_Augusto_Freitas_Sousa	wikicat_Paysandu_Sport_Club_players	59	16	43
Cornwall	wikicat_Peninsulas	118	75	43
Nicolae_Iorga	wikicat_Romanian_orientalists	55	12	43
Manchester_United_F.C.	wikicat_G-14_clubs	46	3	43
Jared_Borgetti	wikicat_Cruz_Azul_footballers	53	10	43
Wakefield	wikicat_County_towns_in_England	66	24	42
Winnipeg_Jets	wikicat_Sports_clubs_established_in_1999	55	13	42
Nicolae_Iorga	wikicat_Romanian_historians	68	26	42
Ray_Houghton	wikicat_Scottish_people_of_Irish_descent	189	147	42
Harold_Urey	wikicat_20th-century_chemists	109	67	42
Stuart_Fleetwood	wikicat_Cardiff_City_F.C._players	53	11	42
Mike_Myers	wikicat_English_screenwriters	248	206	42
Popular_Republican_Movement	wikicat_Catholic_political_parties	47	6	41
Seïd_Khiter	wikicat_AC_Ajaccio_players	59	18	41
Shirley_Jones	wikicat_Actresses_from_Pittsburgh,_Pennsylvania	15960	15919	41
Steve_Jones_(Northern_Irish_footballer)	wikicat_Northern_Premier_League_players	48	7	41
